fire_location_latitude,fire_location_longitude,fire_start_date,weather_conditions_over_fire,temperature,relative_humidity,wind_speed
54.123783,-116.980633,2006-07-04 20:00:00,Cloudy,20,80,0
55.18095,-117.78535,2006-07-03 21:20:00,Cloudy,20,50,25
55.582667,-114.271833,2006-07-17 15:19:00,Cloudy,21,60,5
56.204484,-110.258373,2006-07-17 14:00:00,Cloudy,22.5,43,10
59.311877,-118.649546,2006-07-17 14:27:00,Clear,22,30,5
52.9776,-116.5623,2006-07-17 11:00:00,CB Wet,22,30,15
52.084121,-116.002976,2006-06-30 08:00:00,Clear,22,30,5
53.035833,-116.466167,2006-07-17 17:20:00,Cloudy,19,50,15
55.195277,-113.408933,2006-07-17 17:30:00,Cloudy,21.5,74,0
52.636833,-115.889333,2006-07-17 17:30:00,Clear,25,37,0
56.870033,-118.041667,2006-07-17 18:00:00,CB Wet,18,70,10
54.343767,-118.008333,2006-07-04 15:00:00,Cloudy,25,26,20
54.283933,-118.016117,2006-07-04 15:00:00,CB Dry,30,27,10
56.097667,-113.547,2006-07-18 12:43:00,CB Wet,20,63,2
51.149117,-114.858817,2006-07-18 13:00:00,Cloudy,16,50,5
53.359967,-116.671,2006-07-03 20:00:00,Clear,35,20,5
53.354054,-117.629405,2006-08-02 01:00:00,Clear,6.5,81,7
55.8397,-116.006317,2006-07-23 00:00:00,CB Wet,16,82,9
55.439317,-116.742483,2006-07-06 08:00:00,Rainshowers,24,100,0
54.182083,-117.028633,2006-07-25 20:00:00,Cloudy,23,52,10
55.015783,-119.3169,2006-07-10 13:00:00,Cloudy,15,85,5
54.571917,-117.934367,2006-07-03 20:32:00,Cloudy,15,50,5
57.022067,-113.92815,2006-07-05 15:15:00,Clear,19,79,5
51.376333,-115.00145,2006-08-02 10:00:00,Cloudy,18,50,3
57.098367,-114.048867,2006-07-14 15:21:00,Clear,21,45,5
53.084816,-115.228897,2006-08-03 17:15:00,Clear,20,30,0
50.3834,-114.587767,2006-08-27 08:00:00,Clear,27,24,2
54.629667,-117.318167,2006-08-15 18:00:00,Clear,23,40,10
51.106917,-115.072183,2006-08-27 18:25:00,Clear,26,12,5
54.692833,-118.516833,2006-07-30 01:52:00,Cloudy,23,30,5
58.570167,-119.025333,2006-08-28 09:15:00,Clear,20,55,9
54.825483,-119.13455,2006-08-15 15:00:00,Cloudy,23,30,5
56.897067,-111.448833,2006-08-28 14:45:00,Cloudy,24,35,20
56.50185,-115.3337,2006-08-28 18:30:00,Clear,20,71,5
55.064667,-117.813333,2006-08-28 18:00:00,Cloudy,14,81,7
57.843,-113.491917,2006-08-22 18:01:00,CB Dry,20,45,5
54.91355,-115.144033,2006-08-27 16:30:00,Clear,24,40,30
54.451667,-117.451333,2006-08-19 20:00:00,Clear,24,36,3
56.108333,-112.807167,2006-06-28 06:00:00,Cloudy,27,35,8
52.765005,-115.738694,2006-07-04 17:00:00,Clear,16,40,10
52.765021,-115.931474,2006-07-05 05:47:00,Clear,16,40,10
52.775958,-115.901321,2006-07-04 15:20:00,Clear,16,40,10
54.506699,-115.938423,2006-07-04 21:00:00,Cloudy,24,75,7
54.532167,-115.796667,2006-07-04 21:30:00,Cloudy,24,75,7
51.68875,-115.16645,2006-07-05 09:00:00,Clear,23,40,0
57.677167,-112.108,2006-07-04 19:50:00,Cloudy,18,45,15
54.357613,-116.771713,2006-07-04 20:00:00,Clear,23,60,5
52.76685,-115.906367,2006-07-04 18:00:00,CB Dry,20,50,10
54.134,-117.013,2006-07-04 20:00:00,Clear,23,66,18
53.2,-116.022333,2006-07-04 10:00:00,CB Dry,30,32,3
56.974833,-111.492,2006-07-05 12:00:00,Clear,23,40,15
52.8258,-115.878883,2006-07-04 18:30:00,Cloudy,32,28,0
57.821,-111.216667,2006-07-05 01:26:00,Cloudy,9,94,7
55.074733,-112.78875,2006-07-05 13:00:00,Cloudy,33,25,20
54.946833,-114.0035,2006-07-18 16:00:00,Cloudy,13,90,15
52.430192,-115.08338,2006-04-10 00:00:00,Clear,16,16,14
55.557167,-119.777183,2006-06-28 01:00:00,Clear,20,35,5
55.91185,-119.28465,2006-06-28 07:34:00,Cloudy,25,52,10
54.989167,-110.776,2006-06-29 18:00:00,Clear,26,37,10
53.386433,-117.238767,2006-07-03 18:30:00,Cloudy,25.5,28,2
55.226333,-111.843167,2006-07-05 18:00:00,CB Dry,30,35,30
53.920183,-118.832967,2006-07-08 16:00:00,Cloudy,27,27,4
53.3027,-116.159783,2006-07-18 18:30:00,Clear,23,54,5
52.422983,-114.981083,2006-07-19 16:00:00,Clear,25,40,5
59.803333,-117.706083,2006-07-19 15:35:00,CB Dry,18,47,10
59.840533,-117.89875,2006-07-19 15:10:00,CB Dry,18,30,10
53.932317,-118.961583,2006-07-01 17:30:00,Clear,24,15,5
53.16635,-116.643217,2006-08-03 15:00:00,Cloudy,12,60,0
58.893167,-110.894167,2006-06-20 12:05:00,CB Wet,22,60,10
50.24185,-114.346283,2006-08-03 12:00:00,Cloudy,20,45,10
49.677483,-114.591967,2006-08-04 10:00:00,Cloudy,22,22,21
49.660967,-114.539883,2006-08-04 10:00:00,Cloudy,22,22,30
57.986683,-112.738633,2006-06-27 12:00:00,Clear,32,26,15
57.34075,-118.65157,2006-04-14 10:18:00,Rainshowers,2,85,15
56.320817,-117.659,2006-04-24 13:00:00,Clear,18,30,10
50.799933,-114.911433,2006-08-02 12:00:00,Cloudy,18,40,10
49.942,-114.3919,2006-08-04 18:00:00,Clear,20,56,20
49.340833,-114.412217,2006-08-05 12:00:00,Clear,24,21,15
57.1435,-117.695167,2006-08-05 16:00:00,Cloudy,18,80,10
49.366617,-114.324283,2006-08-05 18:30:00,Clear,18,30,10
49.366117,-114.324333,2006-08-05 18:00:00,Clear,18,30,10
55.577767,-119.06145,2006-08-30 11:00:00,Cloudy,16,40,20
57.615833,-113.281833,2006-06-27 18:39:00,Cloudy,27.5,52,2
55.28585,-116.488717,2006-08-24 15:00:00,Cloudy,27,36,15
56.925,-118.539,2006-07-02 15:00:00,CB Wet,23,40,10
50.630683,-115.121517,2006-09-01 14:15:00,Clear,20,43,5
54.721,-116.997,2006-07-19 16:00:00,Cloudy,20,41,12
55.559427,-119.066398,2006-09-01 22:00:00,Clear,20,50,10
55.120833,-117.779167,2006-09-02 16:00:00,Clear,25,30,5
59.121483,-114.1601,2006-08-14 00:00:00,Clear,16,65,15
54.650767,-117.86885,2006-08-24 20:00:00,Clear,15,30,0
54.4195,-118.5575,2006-09-02 20:00:00,Clear,19,47,6
51.76206,-115.48263,2006-07-04 12:00:00,CB Wet,23,34,10
56.430017,-110.995517,2006-07-05 11:45:00,Clear,28,45,5
53.518567,-116.626317,2006-07-05 15:55:00,Clear,30,27,6
52.957811,-116.11896,2006-07-05 16:32:00,Cloudy,24.5,49,0
56.144167,-113.0859,2006-07-05 16:30:00,Cloudy,25,64,3
58.48375,-114.517617,2006-06-24 06:30:00,Clear,25,26,5
52.8149,-115.916133,2006-07-05 17:30:00,Clear,27,30,5
56.540333,-114.57,2006-07-05 18:10:00,Rainshowers,24,100,0
53.478333,-116.888333,2006-07-05 17:50:00,Cloudy,26,25,5
57.495667,-110.829667,2006-07-04 19:45:00,Rainshowers,19,50,15
56.627,-110.460667,2006-07-05 19:00:00,Cloudy,23,70,5
55.150517,-112.809617,2006-07-05 18:30:00,Clear,24,35,0
52.804,-115.942217,2006-07-05 19:50:00,Clear,28,35,5
55.325333,-111.303333,2006-07-05 19:50:00,CB Dry,19,40,10
53.022667,-115.831833,2006-07-05 20:15:00,Cloudy,23,35,10
55.595333,-111.308667,2006-07-05 20:30:00,Rainshowers,25,65,3
